iter	Passed	Remaining
0	212	52901
1	253	31419
2	279	23043
3	351	21628
4	399	19575
5	478	19451
6	535	18591
7	591	17885
8	641	17182
9	699	16799
10	750	16316
11	794	15765
12	850	15504
13	903	15231
14	960	15051
15	1011	14793116	1064	14591117	1122	14463118	1171	1424119	1211	13934
20	1274	13893
21	1329	13777
22	1390	13722
23	1446	13622
24	1496	13464
25	1547	13332
26	1604	13253
27	1660	13161
28	1712	13051
29	1767	12964
30	1825	12896
31	1878	12795
32	1924	12651
33	1976	12558
34	2026	12448
35	2070	12307
36	2115	12179
37	2166	12089
38	2202	11916
39	2264	11888
40	2307	11764
41	2366	11719
42	2426	11683
43	2488	11650
44	2542	11583
45	2594	11506
46	2650	11446
47	2694	11338
48	2737	11231
49	2782	11130
50	2837	11070
51	2886	10990
52	2943	10939
53	2992	10862
54	3037	10767
55	3085	10688
56	3135	10616
57	3187	10553
58	3248	10516
59	3294	10431
60	3342	10356
61	3391	10283
62	3442	10219
63	3496	10161
64	3541	10080
65	3585	9996
66	3640	9944
67	3681	9852
68	3732	9790
69	3783	9728
70	3833	9665
71	3879	9590
72	3933	9537
73	3982	9472
74	4035	9415
75	4082	9345
76	4132	9284
77	4189	9238
78	4241	9180
79	4298	9135
80	4356	9089
81	4414	9045
82	4466	8987
83	4522	8938
84	4570	8872
85	4620	8810
86	4670	8749
87	4717	8683
88	4779	8645
89	4832	8591
90	4882	8531
91	4935	8476
92	4967	8385
93	5017	8327
94	5062	8259
95	5115	8205
96	5168	8153
97	5222	8100
98	5272	8041
99	5326	7989
100	5373	7927
101	5418	7862
102	5472	7810
103	5523	7754
104	5579	7705
105	5633	7652
106	5686	7600
107	5738	7544
108	5783	7481
109	5831	7421
110	5883	7367
111	5944	7325
112	5993	7266
113	6043	7209
114	6092	115	6115	6145	7098
116	6192	117	6117	6243	118	6118	6290	119	6119	6344	120	6120	6403	121	6121	6456	6773
122	6506	123	6123	6555	124	6124	6604	125	6125	6652	126	6126	6704	127	6127	6756	128	6128	6815	129	6129	6867	130	6130	6988	6348
131	7053	6305
132	7109	6254
133	7158	6197
134	7202	6135
135	7248	6076
136	7293	6015
137	7339	138	7138	7390	139	7139	7447	140	7140	7496	141	7141	7549	142	7142	7596	143	7143	7657	144	7144	7712	145	7145	7767	146	7146	7818	147	7147	7868	148	7148	7917	149	7149	7980	5320
150	8031	5265
151	8079	5209
152	8134	5157
153	8181	5100
154	8232	5045
155	8285	4992
156	8332	4935
157	8386	4883
158	8442	4832
159	8493	4777
160	8545	4723
161	8598	4670
162	8643	4613
163	8688	4556
164	8735	4500
165	8778	4442
166	8835	4391
167	8890	4339
168	8940	4285
169	8990	4230
170	9044	4178
171	9094	4124
172	9144	4070
173	9188	174	9174	9238	175	9175	9303	176	9176	9349	177	9177	9391	178	9178	9432	179	9179	9489	180	9180	9550	181	9181	9605	3588
182	9653	3534
183	9695	184	9184	9741	185	9185	9796	186	9186	9845	187	9187	9898	188	9188	9952	189	9189	10003190	10190	10057191	10191	10111192	10192	10156193	10193	10207194	10194	10254195	10195	10308196	10196	10363197	10197	10416198	10198	10473199	10199	10517200	10200	10565201	102201	1068202	106202	1073203	107203	1078204	10204	10781205	10205	10837206	102206	1095207	102207	1101208	112208	1107209	112209	1112210	112210	1117211	112211	1122212	112212	1127213	112213	1132214	113214	1137215	113215	1143216	114216	1148217	114217	1153218	115218	1158219	115219	1163220	116220	1168221	116221	1174222	117222	1180223	117223	1185224	118224	1190225	118225	1195226	119226	1201227	119227	1207228	120228	12130	1112
229	12176	1058
230	12232	1006
231	12289	953
232	12338	900
233	12387	847
234	12446	794
235	12500	741
236	12551	688
237	12607	635
238	12661	582
239	12719	529
240	12771	476
241	12828	424
242	12881	371
243	12944	318
244	12994	265
245	13046	212
246	13092	159
247	13131	105
248	13170	52
249	13198	0
